Wavelength (nm),Reflectance Factor (%)
1597,93.113983
1598,93.234987
1599,93.394309
1600,93.442668
1601,93.261775
1602,93.14951
1603,93.105923
1604,93.255949
1605,93.404322
1606,93.375748
1607,93.261525
1608,93.141438
1609,93.085726
1610,93.249611
1611,93.25637
1612,93.353785
1613,93.242307
1614,93.353465
1615,93.20213
1616,93.229627
1617,93.051793
1618,93.033026
1619,93.163585
1620,93.183993
1621,93.31268
1622,93.145625
1623,93.171459
1624,93.263726
1625,93.138104
1626,93.100654
1627,92.962442
1628,92.959056
1629,93.090112
1630,93.056859
1631,93.073411
1632,93.183106
1633,93.227817
1634,93.074344
1635,93.067708
1636,92.990045
1637,92.717507
1638,93.001855
1639,92.967336
1640,92.979422
1641,93.095428
1642,93.078872
1643,92.912117
1644,92.786702
1645,92.746545
1646,92.889867
1647,92.921027
1648,93.097618
1649,92.854059
1650,92.778709
1651,92.582144
1652,92.803419
1653,92.863401
1654,92.995971
1655,92.770161
1656,92.681876
1657,92.496755
1658,92.789325
1659,92.912344
1660,92.862489
1661,92.634578
1662,92.493972
1663,92.698387
1664,92.764832
1665,92.925448
1666,92.661173
1667,92.639648
1668,92.626244
1669,92.618296
1670,92.494415
1671,92.379328
1672,92.584997
1673,92.537327
1674,92.639622
1675,92.767174
1676,92.55693
1677,92.488554
1678,92.371843
1679,92.389499
1680,92.520213
1681,92.608161
1682,92.527293
1683,92.375644
1684,92.296676
1685,92.303559
1686,92.33963
1687,92.452826
1688,92.392771
1689,92.346524
1690,92.151456
1691,92.206953
1692,92.35278
1693,92.420591
1694,92.262493
1695,92.153679
1696,92.182828
1697,92.138469
1698,92.390922
1699,92.455436
1700,92.166565
1701,92.064168
1702,92.165791
1703,92.345587
1704,92.429572
1705,92.361648
1706,92.184846
1707,92.114192
1708,92.195218
1709,92.340794
1710,92.446442
1711,92.371268
1712,92.268911
1713,92.190627
1714,92.17765
1715,92.165469
1716,92.167139
1717,92.222369
1718,92.290804
1719,92.26724
1720,92.174028
1721,92.160426
1722,92.263393
1723,92.230386
1724,92.142315
1725,92.153195
1726,92.17255
1727,92.067978
1728,92.06675
1729,92.122037
1730,92.134437
1731,92.136874
1732,92.141482
1733,92.154008
1734,92.160122
1735,92.153126
1736,92.149924
1737,92.153166
1738,92.16387
1739,92.169399
1740,92.160974
1741,92.175215
1742,92.189776
1743,92.082702
1744,92.152681
1745,92.194073
1746,92.189337
1747,92.314447
1748,92.266421
1749,92.215881
1750,92.202045
1751,92.212816
1752,92.340211
1753,92.175382
1754,92.203949
1755,92.249049
1756,92.24333
1757,92.150776
1758,92.320993
1759,92.296406
1760,92.28238
1761,92.290946
1762,92.260221
1763,92.265015
1764,92.262812
1765,92.153481
1766,92.34693
1767,92.288196
1768,92.254566
1769,92.262454
1770,92.23899
1771,92.385435
1772,92.166267
1773,92.232723
1774,92.272563
1775,92.278533
1776,92.258831
1777,92.274221
1778,92.278319
1779,92.305275
1780,92.309709
1781,92.28592
1782,92.439232
1783,92.186497
1784,92.290972
1785,92.297349
1786,92.295901
1787,92.299321
1788,92.28447
1789,92.281694
1790,92.453575
1791,92.166463
1792,92.289632
1793,92.26161
1794,92.244457
1795,92.258086
1796,92.101683
1797,92.349994
1798,92.407435
1799,92.112333
1800,92.056733
1801,92.223967
1802,92.347421
1803,92.37297
1804,92.102304
1805,92.077993
1806,92.509872
1807,92.074834
1808,92.070957
1809,92.322068
1810,92.333477
1811,91.88684
1812,92.298939
1813,92.151647
1814,92.157013
1815,92.126197
1816,91.961121
1817,92.228843
1818,92.066459
1819,92.042275
1820,92.06985
1821,91.909037
1822,92.189946
1823,92.193498
1824,91.850913
1825,91.975595
1826,91.859451
1827,92.323098
1828,91.826252
1829,91.820609
1830,92.013348
1831,92.110765
1832,92.088988
1833,91.859755
1834,91.598133
1835,92.015405
1836,91.835547
1837,91.71455
1838,92.097284
1839,91.669122
1840,91.7765
1841,91.646735
1842,91.917551
1843,91.866999
1844,91.608091
1845,91.730735
1846,91.722168
1847,91.771463
1848,91.744109
1849,91.757497
1850,91.737484
1851,91.718948
1852,91.73556
1853,91.737286
1854,91.732236
1855,91.726669
1856,91.672759
1857,91.561969
1858,91.686489
1859,91.681428
1860,91.787703
1861,91.613782
1862,91.572565
1863,91.550613
1864,91.49051
1865,91.462257
1866,91.426865
1867,91.384827
1868,91.364425
1869,91.350139
1870,91.370206
1871,91.382053
1872,91.36212
1873,91.340381
1874,91.35624
1875,91.403002
1876,91.400888
1877,91.400537
1878,91.435809
1879,91.424339
1880,91.438371
1881,91.458098
1882,91.462381
1883,91.464803
1884,91.453982
1885,91.446858
1886,91.440656
1887,91.418301
1888,91.411926
1889,91.370332
1890,91.393004
1891,91.366739
1892,91.336755
1893,91.320747
1894,91.299996
1895,91.27578
1896,91.262106
1897,91.243839
1898,91.236585
1899,91.220899
1900,91.210869
1901,91.199878
1902,91.228295
1903,91.235007
1904,91.202664
1905,91.205826
1906,91.217463
1907,91.249848
1908,91.276391
1909,91.253523
1910,91.228528
1911,91.225286
1912,91.239008
1913,91.224272
1914,91.198521
1915,91.189934
1916,91.176231
1917,91.183787
1918,91.151926
1919,91.104073
1920,91.110828
1921,91.093374
1922,91.068356
1923,91.077314
1924,91.075603
1925,91.071773
1926,91.068546
1927,91.080431
1928,91.085614
1929,91.092094
1930,91.083862
1931,91.068014
1932,91.073778
1933,91.070503
1934,91.083166
1935,91.070893
1936,91.064941
1937,91.074628
1938,91.079938
1939,91.10049
1940,91.097264
1941,91.09761
1942,91.110356
1943,91.142722
1944,91.250924
1945,91.236618
1946,91.194683
1947,91.197373
1948,91.211009
1949,91.242648
1950,91.257835
1951,91.275667
1952,91.263471
1953,91.256892
1954,91.252472
1955,91.163144
1956,91.196082
1957,91.308569
1958,91.266819
1959,91.141375
1960,91.169818
1961,91.277952
1962,91.228022
1963,91.173897
1964,91.142934
1965,91.128145
1966,91.104372
1967,91.121308
1968,91.108008
1969,91.094382
1970,91.204026
1971,91.14057
1972,91.106552
1973,91.014171
1974,91.073943
1975,91.123722
1976,91.105541
1977,91.111541
1978,91.109042
1979,91.116563
1980,91.103081
1981,91.003009
1982,91.043053
1983,91.011143
1984,91.006031
1985,90.991254
1986,90.953492
1987,90.925986
1988,90.890742
1989,90.932383
1990,90.836969
1991,90.820488
1992,90.806101
1993,90.802606
1994,90.794799
1995,90.784586
1996,90.771907
1997,90.772611
1998,90.740227
1999,90.75208
2000,90.743525
2001,90.755707
2002,90.716803
2003,90.717806
2004,90.685312
2005,90.684032
2006,90.641586
2007,90.625082
2008,90.591826
2009,90.573435
2010,90.51704
2011,90.490398
2012,90.500044
2013,90.457874
2014,90.441576
2015,90.41423
2016,90.369805
2017,90.361277
2018,90.334681
2019,90.315355
2020,90.271195
2021,90.266491
2022,90.245255
2023,90.212282
2024,90.16759
2025,90.19808
2026,90.142671
2027,90.111799
2028,90.095638
2029,90.084418
2030,90.058547
2031,90.052297
2032,90.046047
2033,90.037075
2034,90.039814
2035,90.004615
2036,89.985822
2037,89.993951
2038,89.934664
2039,89.944277
2040,89.91587
2041,89.904922
2042,89.917409
2043,89.910029
2044,89.887298
2045,89.865549
2046,89.816903
2047,89.850562
2048,89.831297
2049,89.814916
2050,89.804112
2051,89.790891
2052,89.766813
2053,89.723547
2054,89.716537
2055,89.709341
2056,89.691149
2057,89.652206
2058,89.636363
2059,89.603937
2060,89.594592
2061,89.6097
2062,89.572699
2063,89.58569
2064,89.585513
2065,89.55892
2066,89.559971
2067,89.549788
2068,89.551292
2069,89.540636
2070,89.523995
2071,89.522267
2072,89.524803
2073,89.513894
2074,89.488878
2075,89.485866
2076,89.463562
2077,89.462719
